user_id,install_date,activity_date,sessions
P07794,2026-06-01,2026-06-01,2
P07835,2026-06-01,2026-06-01,5
P07929,2026-06-01,2026-06-01,2
P00007,2026-06-02,2026-06-02,3
P00030,2026-06-02,2026-06-02,4
P00060,2026-06-02,2026-06-02,1
P00061,2026-06-02,2026-06-02,4
P00111,2026-06-02,2026-06-02,5
P00114,2026-06-01,2026-06-02,2
P00139,2026-06-02,2026-06-02,3
P00145,2026-06-02,2026-06-02,4
P00184,2026-06-02,2026-06-02,1
P00208,2026-06-02,2026-06-02,5
P00220,2026-06-01,2026-06-02,1
P00230,2026-06-01,2026-06-02,3
P00264,2026-06-02,2026-06-02,4
P00278,2026-06-01,2026-06-02,1
P00289,2026-06-02,2026-06-02,5
P00302,2026-06-02,2026-06-02,5
P00312,2026-06-02,2026-06-02,4
P00404,2026-06-02,2026-06-02,2
P00445,2026-06-02,2026-06-02,3
P00464,2026-06-02,2026-06-02,4
P00538,2026-06-02,2026-06-02,3
P00551,2026-06-01,2026-06-02,1
P00574,2026-06-02,2026-06-02,5
P00581,2026-06-02,2026-06-02,2
P00598,2026-06-02,2026-06-02,3
P00621,2026-06-01,2026-06-02,4
P00709,2026-06-02,2026-06-02,2
P00740,2026-06-01,2026-06-02,2
P00752,2026-06-02,2026-06-02,3
P00799,2026-06-01,2026-06-02,1
P00908,2026-06-02,2026-06-02,3
P00924,2026-06-02,2026-06-02,5
P01094,2026-06-02,2026-06-02,1
P01269,2026-06-02,2026-06-02,1
P01327,2026-06-01,2026-06-02,3
P01337,2026-06-02,2026-06-02,2
P01391,2026-06-02,2026-06-02,4
P01423,2026-06-01,2026-06-02,1
P01424,2026-06-01,2026-06-02,2
P01432,2026-06-02,2026-06-02,3
P01651,2026-06-01,2026-06-02,2
P01775,2026-06-01,2026-06-02,3
P01895,2026-06-02,2026-06-02,3
P01924,2026-06-02,2026-06-02,4
P02014,2026-06-02,2026-06-02,2
P02062,2026-06-01,2026-06-02,2
P02150,2026-06-02,2026-06-02,5
P02230,2026-06-02,2026-06-02,4
P02243,2026-06-02,2026-06-02,2
P02245,2026-06-02,2026-06-02,1
P02493,2026-06-02,2026-06-02,3
P02513,2026-06-02,2026-06-02,2
P02600,2026-06-02,2026-06-02,2
P02672,2026-06-02,2026-06-02,4
P02707,2026-06-02,2026-06-02,1
P02760,2026-06-02,2026-06-02,1
P02865,2026-06-02,2026-06-02,4
P03092,2026-06-02,2026-06-02,2
P03229,2026-06-02,2026-06-02,1
P03286,2026-06-02,2026-06-02,3
P03305,2026-06-02,2026-06-02,3
P03309,2026-06-02,2026-06-02,4
P03323,2026-06-02,2026-06-02,2
P03372,2026-06-02,2026-06-02,4
P03373,2026-06-02,2026-06-02,5
P03432,2026-06-02,2026-06-02,1
P03524,2026-06-01,2026-06-02,4
P03595,2026-06-02,2026-06-02,1
P03597,2026-06-02,2026-06-02,1
P03606,2026-06-02,2026-06-02,2
P03673,2026-06-02,2026-06-02,2
P03680,2026-06-02,2026-06-02,5
P03704,2026-06-01,2026-06-02,1
P03726,2026-06-02,2026-06-02,2
P03743,2026-06-02,2026-06-02,3
P03758,2026-06-02,2026-06-02,2
P03815,2026-06-02,2026-06-02,5
P03827,2026-06-02,2026-06-02,2
P03856,2026-06-01,2026-06-02,3
P03864,2026-06-01,2026-06-02,3
P03900,2026-06-02,2026-06-02,2
P03940,2026-06-01,2026-06-02,1
P03956,2026-06-02,2026-06-02,4
P03981,2026-06-01,2026-06-02,1
P04134,2026-06-02,2026-06-02,4
P04287,2026-06-02,2026-06-02,1
P04303,2026-06-01,2026-06-02,4
P04367,2026-06-02,2026-06-02,3
P04385,2026-06-02,2026-06-02,4
P04456,2026-06-01,2026-06-02,2
P04536,2026-06-02,2026-06-02,2
P04604,2026-06-02,2026-06-02,5
P04721,2026-06-02,2026-06-02,2
P04768,2026-06-02,2026-06-02,1
P04772,2026-06-02,2026-06-02,1
P04818,2026-06-02,2026-06-02,4
P04823,2026-06-02,2026-06-02,2
P04906,2026-06-02,2026-06-02,2
P04911,2026-06-02,2026-06-02,4
P04922,2026-06-02,2026-06-02,5
P04982,2026-06-02,2026-06-02,5
P04991,2026-06-02,2026-06-02,1
P05100,2026-06-02,2026-06-02,1
P05201,2026-06-02,2026-06-02,1
P05204,2026-06-02,2026-06-02,2
P05209,2026-06-01,2026-06-02,1
P05222,2026-06-02,2026-06-02,5
P05229,2026-06-02,2026-06-02,3
P05254,2026-06-02,2026-06-02,4
P05450,2026-06-02,2026-06-02,5
P05454,2026-06-01,2026-06-02,3
P05596,2026-06-02,2026-06-02,3
P05634,2026-06-02,2026-06-02,1
P05654,2026-06-02,2026-06-02,3
P05718,2026-06-02,2026-06-02,4
P05741,2026-06-01,2026-06-02,2
P05792,2026-06-02,2026-06-02,4
P05848,2026-06-01,2026-06-02,4
P05900,2026-06-02,2026-06-02,2
P05912,2026-06-02,2026-06-02,1
P05997,2026-06-02,2026-06-02,2
P06015,2026-06-02,2026-06-02,4
P06021,2026-06-02,2026-06-02,5
P06055,2026-06-02,2026-06-02,5
P06105,2026-06-02,2026-06-02,2
P06162,2026-06-02,2026-06-02,3
P06252,2026-06-02,2026-06-02,3
P06290,2026-06-01,2026-06-02,4
P06339,2026-06-01,2026-06-02,1
P06454,2026-06-02,2026-06-02,5
P06594,2026-06-02,2026-06-02,5
P06599,2026-06-02,2026-06-02,3
P06645,2026-06-02,2026-06-02,5
P06647,2026-06-02,2026-06-02,5
P06666,2026-06-02,2026-06-02,1
P06802,2026-06-02,2026-06-02,4
P06819,2026-06-02,2026-06-02,5
P06914,2026-06-02,2026-06-02,5
P06939,2026-06-02,2026-06-02,3
P06943,2026-06-02,2026-06-02,3
P07028,2026-06-02,2026-06-02,5
P07058,2026-06-02,2026-06-02,4
P07096,2026-06-02,2026-06-02,3
P07123,2026-06-02,2026-06-02,3
P07173,2026-06-02,2026-06-02,5
P07188,2026-06-02,2026-06-02,2
P07286,2026-06-02,2026-06-02,2
P07402,2026-06-02,2026-06-02,5
P07530,2026-06-02,2026-06-02,1
P07656,2026-06-02,2026-06-02,2
P07771,2026-06-02,2026-06-02,2
P07787,2026-06-02,2026-06-02,4
P00007,2026-06-02,2026-06-03,2
P00030,2026-06-02,2026-06-03,4
P00114,2026-06-01,2026-06-03,2
P00145,2026-06-02,2026-06-03,3
P00151,2026-06-03,2026-06-03,2
P00251,2026-06-03,2026-06-03,2
P00264,2026-06-02,2026-06-03,4
P00286,2026-06-03,2026-06-03,2
P00289,2026-06-02,2026-06-03,3
P00331,2026-06-03,2026-06-03,2
P00373,2026-06-03,2026-06-03,5
P00416,2026-06-03,2026-06-03,2
P00441,2026-06-01,2026-06-03,1
P00453,2026-06-03,2026-06-03,1
P00520,2026-06-03,2026-06-03,2
P00527,2026-06-01,2026-06-03,2
P00541,2026-06-03,2026-06-03,3
P00559,2026-06-03,2026-06-03,3
P00584,2026-06-03,2026-06-03,2
P00598,2026-06-02,2026-06-03,2
P00652,2026-06-03,2026-06-03,1
P00699,2026-06-03,2026-06-03,3
P00740,2026-06-01,2026-06-03,1
P00752,2026-06-02,2026-06-03,4
P00798,2026-06-03,2026-06-03,5
P00844,2026-06-01,2026-06-03,1
P00942,2026-06-03,2026-06-03,5
P00972,2026-06-03,2026-06-03,3
P00985,2026-06-03,2026-06-03,5
P01049,2026-06-03,2026-06-03,2
P01055,2026-06-03,2026-06-03,4
P01137,2026-06-03,2026-06-03,3
P01145,2026-06-03,2026-06-03,5
P01228,2026-06-03,2026-06-03,5
P01342,2026-06-03,2026-06-03,1
P01372,2026-06-03,2026-06-03,4
P01375,2026-06-01,2026-06-03,3
P01395,2026-06-03,2026-06-03,5
P01417,2026-06-03,2026-06-03,2
P01423,2026-06-01,2026-06-03,4
P01424,2026-06-01,2026-06-03,4
P01432,2026-06-02,2026-06-03,2
P01580,2026-06-03,2026-06-03,5
P01634,2026-06-03,2026-06-03,4
P01651,2026-06-01,2026-06-03,3
P01702,2026-06-03,2026-06-03,5
P01769,2026-06-03,2026-06-03,1
P01775,2026-06-01,2026-06-03,4
P01781,2026-06-03,2026-06-03,5
P01811,2026-06-03,2026-06-03,2
P01969,2026-06-03,2026-06-03,4
P02014,2026-06-02,2026-06-03,1
P02062,2026-06-01,2026-06-03,4
P02111,2026-06-03,2026-06-03,1
P02150,2026-06-02,2026-06-03,4
P02240,2026-06-03,2026-06-03,1
P02243,2026-06-02,2026-06-03,3
P02276,2026-06-03,2026-06-03,3
P02358,2026-06-03,2026-06-03,4
P02446,2026-06-03,2026-06-03,4
P02460,2026-06-03,2026-06-03,2
P02493,2026-06-02,2026-06-03,1
P02621,2026-06-03,2026-06-03,1
P02691,2026-06-03,2026-06-03,4
P02736,2026-06-03,2026-06-03,1
P02925,2026-06-03,2026-06-03,1
P02927,2026-06-03,2026-06-03,2
P02977,2026-06-03,2026-06-03,4
P02979,2026-06-03,2026-06-03,1
P03137,2026-06-03,2026-06-03,1
P03173,2026-06-03,2026-06-03,4
P03178,2026-06-03,2026-06-03,2
P03215,2026-06-03,2026-06-03,4
P03229,2026-06-02,2026-06-03,1
P03280,2026-06-03,2026-06-03,1
P03323,2026-06-02,2026-06-03,3
P03359,2026-06-03,2026-06-03,4
P03507,2026-06-03,2026-06-03,2
P03511,2026-06-03,2026-06-03,4
P03541,2026-06-03,2026-06-03,4
P03723,2026-06-03,2026-06-03,4
P03807,2026-06-03,2026-06-03,4
P03841,2026-06-03,2026-06-03,2
P03856,2026-06-01,2026-06-03,1
P03900,2026-06-02,2026-06-03,4
P04010,2026-06-03,2026-06-03,1
P04012,2026-06-03,2026-06-03,4
P04070,2026-06-03,2026-06-03,4
P04164,2026-06-03,2026-06-03,5
P04174,2026-06-03,2026-06-03,2
P04246,2026-06-03,2026-06-03,3
P04285,2026-06-03,2026-06-03,2
P04303,2026-06-01,2026-06-03,3
P04409,2026-06-01,2026-06-03,4
P04547,2026-06-03,2026-06-03,3
P04565,2026-06-03,2026-06-03,1
P04604,2026-06-02,2026-06-03,3
P04622,2026-06-03,2026-06-03,3
P04624,2026-06-03,2026-06-03,4
P04695,2026-06-03,2026-06-03,3
P04833,2026-06-03,2026-06-03,2
P04914,2026-06-03,2026-06-03,2
P04922,2026-06-02,2026-06-03,3
P04991,2026-06-02,2026-06-03,4
P05007,2026-06-03,2026-06-03,5
P05014,2026-06-03,2026-06-03,1
P05049,2026-06-03,2026-06-03,5
P05059,2026-06-03,2026-06-03,1
P05125,2026-06-03,2026-06-03,3
P05201,2026-06-02,2026-06-03,1
P05209,2026-06-01,2026-06-03,1
P05229,2026-06-02,2026-06-03,3
P05273,2026-06-03,2026-06-03,5
P05313,2026-06-03,2026-06-03,2
P05331,2026-06-03,2026-06-03,5
P05344,2026-06-03,2026-06-03,5
P05352,2026-06-01,2026-06-03,3
P05445,2026-06-03,2026-06-03,1
P05450,2026-06-02,2026-06-03,4
P05499,2026-06-03,2026-06-03,4
P05520,2026-06-03,2026-06-03,1
P05525,2026-06-03,2026-06-03,4
P05607,2026-06-03,2026-06-03,1
P05631,2026-06-03,2026-06-03,5
P05650,2026-06-03,2026-06-03,2
P05665,2026-06-03,2026-06-03,1
P05741,2026-06-01,2026-06-03,2
P05744,2026-06-03,2026-06-03,5
P05842,2026-06-03,2026-06-03,2
P05912,2026-06-02,2026-06-03,4
P05928,2026-06-03,2026-06-03,4
P06019,2026-06-03,2026-06-03,5
P06023,2026-06-03,2026-06-03,4
P06046,2026-06-03,2026-06-03,1
P06162,2026-06-02,2026-06-03,3
P06226,2026-06-03,2026-06-03,5
P06290,2026-06-01,2026-06-03,1
P06327,2026-06-03,2026-06-03,5
P06339,2026-06-01,2026-06-03,4
P06452,2026-06-03,2026-06-03,5
P06480,2026-06-03,2026-06-03,4
P06494,2026-06-03,2026-06-03,3
P06501,2026-06-03,2026-06-03,2
P06538,2026-06-03,2026-06-03,1
P06590,2026-06-01,2026-06-03,3
P06647,2026-06-02,2026-06-03,2
P06691,2026-06-03,2026-06-03,5
P06782,2026-06-03,2026-06-03,4
P06783,2026-06-03,2026-06-03,2
P06819,2026-06-02,2026-06-03,1
P06943,2026-06-02,2026-06-03,1
P07028,2026-06-02,2026-06-03,2
P07029,2026-06-03,2026-06-03,1
P07079,2026-06-03,2026-06-03,4
P07090,2026-06-03,2026-06-03,1
P07109,2026-06-03,2026-06-03,1
P07169,2026-06-03,2026-06-03,1
P07171,2026-06-03,2026-06-03,5
P07173,2026-06-02,2026-06-03,1
P07232,2026-06-01,2026-06-03,1
P07266,2026-06-01,2026-06-03,3
P07272,2026-06-01,2026-06-03,4
P07273,2026-06-01,2026-06-03,3
P07309,2026-06-03,2026-06-03,2
P07332,2026-06-03,2026-06-03,5
P07351,2026-06-03,2026-06-03,5
P07385,2026-06-03,2026-06-03,4
P07406,2026-06-03,2026-06-03,2
P07407,2026-06-03,2026-06-03,2
P07518,2026-06-03,2026-06-03,1
P07552,2026-06-03,2026-06-03,5
P07586,2026-06-03,2026-06-03,3
P07771,2026-06-02,2026-06-03,4
P07774,2026-06-03,2026-06-03,3
P07796,2026-06-03,2026-06-03,3
P07801,2026-06-03,2026-06-03,4
P07810,2026-06-03,2026-06-03,1
P07841,2026-06-03,2026-06-03,4
P07950,2026-06-03,2026-06-03,5
P00056,2026-06-04,2026-06-04,1
P00106,2026-06-04,2026-06-04,1
P00114,2026-06-01,2026-06-04,1
P00120,2026-06-04,2026-06-04,2
P00151,2026-06-03,2026-06-04,2
P00156,2026-06-01,2026-06-04,2
P00208,2026-06-02,2026-06-04,1
P00219,2026-06-04,2026-06-04,2
P00251,2026-06-03,2026-06-04,1
P00264,2026-06-02,2026-06-04,2
P00286,2026-06-03,2026-06-04,3
P00302,2026-06-02,2026-06-04,4
P00329,2026-06-04,2026-06-04,3
P00382,2026-06-04,2026-06-04,4
P00393,2026-06-04,2026-06-04,3
P00396,2026-06-04,2026-06-04,3
P00408,2026-06-04,2026-06-04,1
P00440,2026-06-04,2026-06-04,2
P00441,2026-06-01,2026-06-04,4
P00474,2026-06-04,2026-06-04,1
P00483,2026-06-04,2026-06-04,3
P00527,2026-06-01,2026-06-04,2
P00535,2026-06-04,2026-06-04,3
P00536,2026-06-04,2026-06-04,5
P00541,2026-06-03,2026-06-04,4
P00584,2026-06-03,2026-06-04,4
P00593,2026-06-04,2026-06-04,5
P00598,2026-06-02,2026-06-04,4
P00652,2026-06-03,2026-06-04,3
P00699,2026-06-03,2026-06-04,2
P00740,2026-06-01,2026-06-04,1
P00843,2026-06-04,2026-06-04,5
P00844,2026-06-01,2026-06-04,3
P00938,2026-06-04,2026-06-04,2
P00942,2026-06-03,2026-06-04,1
P00963,2026-06-04,2026-06-04,2
P00985,2026-06-03,2026-06-04,2
P01004,2026-06-04,2026-06-04,1
P01027,2026-06-04,2026-06-04,2
P01047,2026-06-04,2026-06-04,1
P01050,2026-06-01,2026-06-04,1
P01087,2026-06-04,2026-06-04,2
P01108,2026-06-04,2026-06-04,4
P01175,2026-06-04,2026-06-04,4
P01201,2026-06-04,2026-06-04,4
P01244,2026-06-04,2026-06-04,5
P01322,2026-06-04,2026-06-04,1
P01342,2026-06-03,2026-06-04,3
P01391,2026-06-02,2026-06-04,1
P01395,2026-06-03,2026-06-04,2
P01396,2026-06-04,2026-06-04,3
P01423,2026-06-01,2026-06-04,4
P01432,2026-06-02,2026-06-04,2
P01477,2026-06-04,2026-06-04,2
P01490,2026-06-04,2026-06-04,2
P01536,2026-06-04,2026-06-04,5
P01559,2026-06-04,2026-06-04,3
P01573,2026-06-04,2026-06-04,5
P01596,2026-06-04,2026-06-04,4
P01651,2026-06-01,2026-06-04,4
P01702,2026-06-03,2026-06-04,1
P01718,2026-06-04,2026-06-04,2
P01721,2026-06-04,2026-06-04,1
P01737,2026-06-04,2026-06-04,1
P01748,2026-06-01,2026-06-04,2
P01775,2026-06-01,2026-06-04,2
P01791,2026-06-04,2026-06-04,3
P01811,2026-06-03,2026-06-04,3
P01996,2026-06-04,2026-06-04,1
P02022,2026-06-04,2026-06-04,2
P02025,2026-06-04,2026-06-04,5
P02042,2026-06-04,2026-06-04,3
P02062,2026-06-01,2026-06-04,4
P02078,2026-06-04,2026-06-04,4
P02111,2026-06-03,2026-06-04,3
P02115,2026-06-04,2026-06-04,3
P02180,2026-06-04,2026-06-04,1
P02237,2026-06-04,2026-06-04,2
P02240,2026-06-03,2026-06-04,1
P02317,2026-06-04,2026-06-04,2
P02361,2026-06-04,2026-06-04,4
P02411,2026-06-04,2026-06-04,4
P02415,2026-06-04,2026-06-04,1
P02444,2026-06-04,2026-06-04,1
P02519,2026-06-04,2026-06-04,3
P02610,2026-06-04,2026-06-04,3
P02621,2026-06-03,2026-06-04,1
P02682,2026-06-04,2026-06-04,1
P02707,2026-06-02,2026-06-04,4
P02726,2026-06-04,2026-06-04,1
P02864,2026-06-04,2026-06-04,2
P02937,2026-06-04,2026-06-04,5
P02977,2026-06-03,2026-06-04,1
P02984,2026-06-04,2026-06-04,5
P03053,2026-06-04,2026-06-04,4
P03092,2026-06-02,2026-06-04,1
P03188,2026-06-04,2026-06-04,4
P03233,2026-06-04,2026-06-04,2
P03286,2026-06-02,2026-06-04,3
P03309,2026-06-02,2026-06-04,1
P03332,2026-06-04,2026-06-04,4
P03359,2026-06-03,2026-06-04,1
P03375,2026-06-04,2026-06-04,4
P03468,2026-06-04,2026-06-04,4
P03501,2026-06-04,2026-06-04,1
P03511,2026-06-03,2026-06-04,2
P03519,2026-06-04,2026-06-04,2
P03524,2026-06-01,2026-06-04,1
P03541,2026-06-03,2026-06-04,4
P03564,2026-06-04,2026-06-04,2
P03602,2026-06-01,2026-06-04,4
P03640,2026-06-04,2026-06-04,5
P03642,2026-06-04,2026-06-04,4
P03704,2026-06-01,2026-06-04,1
P03723,2026-06-03,2026-06-04,4
P03758,2026-06-02,2026-06-04,1
P03764,2026-06-04,2026-06-04,1
P03766,2026-06-04,2026-06-04,3
P03816,2026-06-04,2026-06-04,5
P03841,2026-06-03,2026-06-04,4
P03856,2026-06-01,2026-06-04,2
P03864,2026-06-01,2026-06-04,4
P03940,2026-06-01,2026-06-04,4
P04008,2026-06-04,2026-06-04,2
P04010,2026-06-03,2026-06-04,3
P04021,2026-06-04,2026-06-04,1
P04153,2026-06-04,2026-06-04,4
P04256,2026-06-04,2026-06-04,5
P04302,2026-06-04,2026-06-04,2
P04337,2026-06-04,2026-06-04,1
P04352,2026-06-04,2026-06-04,3
P04416,2026-06-04,2026-06-04,1
P04456,2026-06-01,2026-06-04,2
P04477,2026-06-04,2026-06-04,1
P04536,2026-06-02,2026-06-04,2
P04615,2026-06-04,2026-06-04,1
P04624,2026-06-03,2026-06-04,4
P04714,2026-06-04,2026-06-04,5
P04836,2026-06-04,2026-06-04,1
P04839,2026-06-04,2026-06-04,2
P04867,2026-06-04,2026-06-04,1
P04879,2026-06-04,2026-06-04,3
P04937,2026-06-04,2026-06-04,1
P04938,2026-06-04,2026-06-04,3
P05045,2026-06-04,2026-06-04,1
P05076,2026-06-04,2026-06-04,2
P05255,2026-06-04,2026-06-04,1
P05258,2026-06-04,2026-06-04,5
P05310,2026-06-04,2026-06-04,2
P05396,2026-06-04,2026-06-04,5
P05454,2026-06-01,2026-06-04,4
P05469,2026-06-04,2026-06-04,4
P05499,2026-06-03,2026-06-04,4
P05518,2026-06-01,2026-06-04,2
P05520,2026-06-03,2026-06-04,2
P05539,2026-06-04,2026-06-04,4
P05579,2026-06-04,2026-06-04,2
P05596,2026-06-02,2026-06-04,2
P05605,2026-06-04,2026-06-04,4
P05607,2026-06-03,2026-06-04,3
P05650,2026-06-03,2026-06-04,2
P05653,2026-06-04,2026-06-04,2
P05674,2026-06-04,2026-06-04,1
P05699,2026-06-04,2026-06-04,3
P05705,2026-06-04,2026-06-04,2
P05741,2026-06-01,2026-06-04,2
P05842,2026-06-03,2026-06-04,2
P05863,2026-06-04,2026-06-04,1
P05879,2026-06-04,2026-06-04,3
P06021,2026-06-02,2026-06-04,2
P06023,2026-06-03,2026-06-04,2
P06050,2026-06-01,2026-06-04,1
P06064,2026-06-04,2026-06-04,1
P06106,2026-06-04,2026-06-04,4
P06154,2026-06-01,2026-06-04,1
P06162,2026-06-02,2026-06-04,3
P06214,2026-06-04,2026-06-04,4
P06277,2026-06-04,2026-06-04,4
P06345,2026-06-04,2026-06-04,5
P06431,2026-06-04,2026-06-04,4
P06452,2026-06-03,2026-06-04,2
P06463,2026-06-04,2026-06-04,3
P06473,2026-06-04,2026-06-04,3
P06480,2026-06-03,2026-06-04,1
P06507,2026-06-04,2026-06-04,1
P06594,2026-06-02,2026-06-04,3
P06666,2026-06-02,2026-06-04,4
P06775,2026-06-04,2026-06-04,3
P06789,2026-06-04,2026-06-04,2
P06802,2026-06-02,2026-06-04,4
P06895,2026-06-04,2026-06-04,2
P06913,2026-06-04,2026-06-04,2
P06970,2026-06-04,2026-06-04,3
P06987,2026-06-04,2026-06-04,2
P07022,2026-06-04,2026-06-04,2
P07029,2026-06-03,2026-06-04,2
P07038,2026-06-04,2026-06-04,3
P07108,2026-06-04,2026-06-04,3
P07171,2026-06-03,2026-06-04,4
P07172,2026-06-04,2026-06-04,4
P07184,2026-06-04,2026-06-04,3
P07195,2026-06-04,2026-06-04,4
P07212,2026-06-04,2026-06-04,4
P07232,2026-06-01,2026-06-04,4
P07235,2026-06-04,2026-06-04,2
P07266,2026-06-01,2026-06-04,3
P07274,2026-06-04,2026-06-04,2
P07286,2026-06-02,2026-06-04,4
P07309,2026-06-03,2026-06-04,3
P07339,2026-06-04,2026-06-04,5
P07351,2026-06-03,2026-06-04,3
P07385,2026-06-03,2026-06-04,3
P07407,2026-06-03,2026-06-04,2
P07408,2026-06-04,2026-06-04,5
P07410,2026-06-04,2026-06-04,5
P07415,2026-06-04,2026-06-04,5
P07483,2026-06-04,2026-06-04,2
P07515,2026-06-04,2026-06-04,2
P07531,2026-06-04,2026-06-04,1
P07560,2026-06-04,2026-06-04,1
P07571,2026-06-04,2026-06-04,5
P07723,2026-06-04,2026-06-04,4
P07745,2026-06-04,2026-06-04,2
P07787,2026-06-02,2026-06-04,2
P07810,2026-06-03,2026-06-04,1
P07835,2026-06-01,2026-06-04,4
P07929,2026-06-01,2026-06-04,4
P07950,2026-06-03,2026-06-04,3
P07951,2026-06-04,2026-06-04,5
P00097,2026-06-05,2026-06-05,5
P00106,2026-06-04,2026-06-05,3
P00145,2026-06-02,2026-06-05,3
P00184,2026-06-02,2026-06-05,4
P00197,2026-06-05,2026-06-05,4
P00219,2026-06-04,2026-06-05,1
P00220,2026-06-01,2026-06-05,1
P00223,2026-06-05,2026-06-05,4
P00266,2026-06-05,2026-06-05,1
P00280,2026-06-05,2026-06-05,5
P00286,2026-06-03,2026-06-05,2
P00289,2026-06-02,2026-06-05,1
P00315,2026-06-05,2026-06-05,1
P00338,2026-06-05,2026-06-05,3
P00358,2026-06-05,2026-06-05,1
P00367,2026-06-05,2026-06-05,1
P00396,2026-06-04,2026-06-05,1
P00408,2026-06-04,2026-06-05,3
P00445,2026-06-02,2026-06-05,2
P00453,2026-06-03,2026-06-05,1
P00520,2026-06-03,2026-06-05,4
P00545,2026-06-05,2026-06-05,2
P00591,2026-06-05,2026-06-05,4
P00603,2026-06-05,2026-06-05,1
P00616,2026-06-05,2026-06-05,2
P00687,2026-06-05,2026-06-05,3
P00732,2026-06-05,2026-06-05,3
P00840,2026-06-05,2026-06-05,5
P00914,2026-06-05,2026-06-05,3
